Major,Class Name,Class Code,Instructor,Location,Days & Times
Accounting,ACCT  204 - Principles of Financial Accounting,43050,Alan Styles,Markstein Hall 101,We 4:30PM - 6:20PM
Accounting,ACCT  204 - Principles of Financial Accounting,41835,Benjamin Hubbard,Markstein Hall 101,TuTh 10:00AM - 11:50AM
Accounting,ACCT  204 - Principles of Financial Accounting,41836,Alan Styles,Markstein Hall 101,TuTh 1:00PM - 2:50PM
Accounting,ACCT  204 - Principles of Financial Accounting,41710,Alan Styles,Markstein Hall 101,We 12:30PM - 2:20PM
Accounting,ACCT  204 - Principles of Financial Accounting,41707,Claude Ognibene,Markstein Hall 101,MoWe 6:30PM - 8:20PM
Accounting,ACCT  204 - Principles of Financial Accounting,41708,Katherine Yan,Markstein Hall 101,MoWe 10:30AM - 12:20PM
Accounting,ACCT  204 - Principles of Financial Accounting,41705,Yushi Tian,Markstein Hall 101,MoWe 8:30AM - 10:20AM
Accounting,ACCT  204 - Principles of Financial Accounting,41706,Benjamin Hubbard,Markstein Hall 101,TuTh 3:00PM - 4:50PM
Accounting,ACCT  204 - Principles of Financial Accounting,41711,Marco Casalins,Kellogg Library 5102,Tu 7:00PM - 9:50PM
Accounting,ACCT  204 - Principles of Financial Accounting,43327,Benjamin Hubbard,Markstein Hall 104,Mo 5:30PM - 8:15PM
Anthropology,ANTH  379 - Environmental Health and Justice,44159,Isabelle Placentia,Soc & Behavioral Sci Bldg 1104,We 9:30AM - 12:20PM
Arabic,ARAB  101 - Beginning Arabic I,41283,Fatim-Zahra Samir,Markstein Hall 213,MoWe 5:30PM - 6:45PM
Arabic,ARAB  101 - Beginning Arabic I,43973,Fatim-Zahra Samir,Academic Hall 315,TuTh 10:30AM - 11:45AM
"Art, Media and Design",AMD  122 - Survey of World Cinema,41166,Rajee Samarasinghe,Academic Hall 102,Tu 5:30PM - 8:20PM
"Art, Media and Design",AMD  122 - Survey of World Cinema,44112,Tatiana Sizonenko,Arts Building 220,Fr 12:30PM - 3:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43468,Andrea Lukowiak,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43469,Andrea Lukowiak,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43470,Givon Sanati,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43617,Ayad Yasin,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43472,Givon Sanati,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,43473,Ayad Yasin,Asynchronous Virtual Instr,TBA
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42130,To be Announced,Kellogg Library 1111,TuTh 4:00PM - 5:15PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42450,To be Announced,Science Hall II 157,We 9:30AM - 12:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42451,Khoosheh Gosink,Science Hall II 157,Th 9:30AM - 12:20PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42174,Patricia Byrne,Soc & Behavioral Sci Bldg 2111,TuTh 9:00AM - 10:15AM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42589,Khoosheh Gosink,Science Hall II 157,Th 2:00PM - 4:50PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42452,Jane Kim,Science Hall II 157,Tu 8:30AM - 9:20AM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42590,To be Announced,Science Hall II 157,We 1:00PM - 1:50PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42861,Khoosheh Gosink,Science Hall II 157,Th 1:00PM - 1:50PM
Biological Sciences,BIOL  160 - Microbiology for Health Sciences,42863,Diana Garcia Montiel,Science Hall 212,Fr 1:00PM - 1:50PM
